Part,Country,Site,Cultural phase/ Dates,Dates,Confidence,Lower Range BC,Lower Range CE,BP,Records,Latitude,Longtitude
Eastern Africa,Mauritius,Fort Frederik Hendrik,,"Last quarter of the 17th century CE, possibly even between 1694 and 1698 CE.",Maybe/Yes,,1675,275,2 specimens,-20.37389,57.72728
Northern Africa ,Libya,Gheriat el-Gharbia,,~370-450 CE,No,,370,1580,4 specimens,30.420053,13.418641
Europe,Denmark,Stilling,Iron Age,~400 CE,No,,400,1550,1 specimen,56.05822,9.98617
Northern Africa ,Sudan,Qasr Ibrim,,~450-550 CE,No,,450,1500,specimens,22.650278,31.991667
Western Africa,Burkina Faso,Kissi 22,Iron Age,"~500-1,000 CE",No,,500,1450,eggshell,14.63998,-0.10587
Eastern Africa,Tanzania,Unguja Ukuu,,"~500(?)-1,150 CE",No,,500,1450,5 specimens,-6.13574,39.36213
Eastern Africa,Tanzania,Mpiji,,~575-750 CE,No,,575,1375,1 specimen,-6.86667,38.95
Eastern Africa,Tanzania,Fukuchani,,~600-800 CE,No,,600,1350,specimens,-6.13573,39.36212
Eastern Africa,Kenya,Mgombani,,~600-850 CE,No,,600,1350,specimen(s),,
Europe,Netherlands,Druten,Early to middle Roman Period,c. 70 CE – early 2nd century CE,No,,70,1880,2 specimens,51.89408,5.59427
Europe,Netherlands,Nijmegen Hunerberg,Early to middle Roman Period,c. 70 CE – early 2nd century CE,No,,70,1880,93 specimens,51.84222,5.87914
Eastern Africa,Comoro islands,Koungou,,"~700/800-1,000 CE",No,,700,1250,specimens,-12.73681,45.20679
Eastern Africa,Comoro islands,Dembeni,,"~700/800-1,000 CE",No,,700,1250,specimens,-12.73682,45.20679
Western Africa,Nigeria,Ngala,Phase II,"~700-1,000/1,100 CE",No,,700,1250,5 specimens,12.34207,14.18583
Eastern Africa,Mozambique,Chibuene,,"700-1,000/1,400 CE",No,,700,1250,15 specimens,-22.033333,35.325
Western Africa,Nigeria,Mege,Daima II,"~700-1,150 CE",No,,700,1250,1 specimen,12.25889,14.25972
Eastern Africa,Kenya,Pate ,Phase Ia,~750-850 CE,No,,750,1200,specimen(s),-2.1,41.05
Eastern Africa,Kenya,Shang,,~775-850 CE,No,,775,1175,specimens,-2.283333,40.9
Eastern Africa,Kenya,Chombo,,~775-975 CE,No,,775,1175,specimen(s),-4.13824,39.60571
Southern Africa,RSA,Kwagandaganda,Ndondondwane Phase,~780-790 CE,No,,780,1170,2 specimens,-29.69672,30.94747
Southern Africa,Botswana,Bosutswe,Toutswe Phase,"~800-1,200 CE",No,,800,1150,8 specimens,-21.9525,26.61083
Central Africa,Rwanda,Akameru,,"~800-1,260 CE",No,,800,1150,specimens,-1.50346,29.63253
Central Africa,Rwanda,Cyinkomane,,"~800-1,300 CE",No,,800,1150,specimens,-1.50347,29.63254
Eastern Africa,Tanzania,Mtambwe Mkuu,,post-800 CE,No,,800,1150,specimens,-5.06667,39.71667
Western Africa,Mali,Dia ,,~800 CE,No,,800,1150,specimens,14.351944,-4.956944
Eastern Africa,Kenya,Manda,,"~850-1,250 CE",No,,850,1100,specimen(s),-2.256786,40.935551
Western Africa,Burkina Faso,Oursi hu-beero,Iron Age,"~860-1,160 CE",No,,860,1090,4 specimens,14.67983,-0.49039
Eastern Africa,Madagaskar,Mahilaka ,Occupation unit Ia; Occupation unit Ib,"~875-1,000 CE; ~1,000-1,300 CE",No,,875,1075,5 specimens,-13.4,48.283333
Central Africa,Cameroon,Blé Mound E ,,"~900-1,270 CE",No,,900,1050,1 specimen,6.21667,11.43333
Central Africa,Congo,Sanga,,"~900-1,300 CE",No,,900,1050,1 skeleton,1.46623,15.40681
Europe,Russia,Kuncevskoe bei Moskau,Roman/Slavic Period,,N/A,,,,6 specimens,55.75583,37.6173
Europe,Russia,Slobodka,Roman/Slavic Period,,N/A,,,,15 specimens,,
